metric_id,metric_name,business_area,definition,source_tables,source_views,source_functions,date_field,filters,aggregation,grain,reversal_policy,soft_delete_policy,duplicate_policy,historical_coverage,conflict_ids,dq_ids,ai_trust_status,validation_target,notes
M.OCC.001,Current occupancy (5+ definitions),Operations,"Def A (v_occupancy): Live bed+apt, Staying only = 168/195 = 86.15%. Def B: Live bed+apt, Staying+On-Notice = 175/195 = 89.74%. Def C: ALL beds (no Live filter), Staying+On-Notice = 175/203 = 86.21%. Def D (get_universal_metrics v1): bed.status=Live only (no apartment filter), Staying = 168/195. Def E (get_bed_occupancy_timeline): Staying+On-Notice+Exited, historical, ALL beds = 194/203 = 95.57% (lifetime, not a snapshot). get_universal_metrics_v2 computes occupancyPct = (occupied+notice)/total, matching Def B's numerator basis, PLUS a 6th metric, monthOccupancyPct (day-weighted, current calendar month only).","beds, apartments, tenant_allotments","v_occupancy (F.005), v_active_tenants (F.022, tenant-grained, see M.OCC.002)","get_universal_metrics (Def D), get_universal_metrics_v2 (Def B basis + monthOccupancyPct), get_bed_occupancy_timeline (Def E), get_occupancy_intelligence (day-weighted historical, 7th metric family, no exported output)",Not applicable for snapshot definitions (A-D); onboarding_date/actual_exit_date for Def E,beds.status='Live' (+ apartments.status='Live' for A/B); staying_status IN (varies by definition),COUNT(*) FILTER (...) per definition,"org=organization_id; property=property_id; tenant/allotment=bed_id (beds are the natural grain, not tenants, for Def A-D)",Not applicable (no ledger involvement).,Not applicable (beds/apartments/tenant_allotments have no is_deleted column in their exported schema; status fields serve this role instead).,"H.056 documents 187 overlapping tenant_allotments pairs on the same bed -- Def A-D's EXISTS-based bed-state checks are NOT affected by this (a bed with 2 overlapping Staying allotments still just has has_staying=true), but any occupied-DAYS calculation (Def E, get_occupancy_intelligence) MUST merge overlapping intervals or it will double-count days -- confirmed get_occupancy_intelligence's own SQL does this via an explicit gaps-and-islands merge.",tenant_allotments.onboarding_date: 2019-11-03 to 2026-08-31 (67 months) -- the widest historical span of any domain in the package.,C.006;C.007;C.008;C.009,DQ.004;DQ.005,SHOW_BOTH,"F.005 v_occupancy (validated: OCC.01-05, all exact matches, including the reproduced defect); H.012a-e (validated: OCC.06-08b, all exact matches); F.022 v_active_tenants (validated: OCC.10-12, all exact matches).",16 of 16 occupancy validation checks matched exactly (scripts/validation/validate_occupancy.py) -- the most exhaustively cross-checked metric family after the ledger foundation.
M.OCC.002,Occupancy by property,Operations,"Same 5+ definitions as M.OCC.001, GROUP BY property_id.",Same as M.OCC.001,"v_occupancy (F.005) is already grouped by (organization_id, property_id)",Same as M.OCC.001,Same as M.OCC.001,Same as M.OCC.001,"Same, per property_id",org=organization_id; property=property_id (native grain); tenant/allotment=Aggregated away,Not applicable,Not applicable,Same as M.OCC.001,Same as M.OCC.001,C.006;C.007;C.008;C.009,DQ.004;DQ.005,SHOW_BOTH,Identical to M.OCC.001 (single-property dataset).,
M.OCC.003,Occupancy by apartment,Operations,"get_occupancy_intelligence's apt/heat CTEs: per-apartment total_beds, occupied_beds_now, day-weighted occupancy_pct, monthly heatmap.","beds, apartments, tenant_allotments",None (get_occupancy_intelligence has no exported output rows),get_occupancy_intelligence (full body exported),"Window-bounded (p_from/p_to parameters, day-level)",beds.status='Live' AND apartments.status='Live',"Day-weighted occupied_days/available_days per apartment, plus current-snapshot occupied_beds_now (status_now IN ('occupied','notice'))","org=organization_id; property=property_id (via apartment); tenant/allotment=apartment_id (grain), bed_id (input)",Not applicable,Not applicable,Overlapping allotments on one bed are explicitly merged (gaps-and-islands) before day-counting -- this is the ONE occupancy function proven to guard against H.056's 187 overlap pairs.,Bounded by the p_from/p_to parameters supplied; underlying data spans 2019-11 to 2026-08.,C.006;C.008,DQ.004,NOT_DETERMINABLE,No exported output to validate against -- Not determinable from exported evidence whether a reconstruction matches production output.,Reconstructable but unvalidated -- flagged honestly rather than assumed correct.
M.OCC.004,Occupancy by bed,Operations,"get_bed_occupancy_timeline(bed_id, from, to): occupied/vacant day-range segments per bed. get_occupancy_intelligence: adds occupancy_pct, avg_fill_days, avg_stay_days, turnover, realized/potential revenue, a 0-100 score.",tenant_allotments (+ beds/apartments for availability window),None,"get_bed_occupancy_timeline, get_occupancy_intelligence (both bodies exported)","onboarding_date, actual_exit_date, day-range window [p_from,p_to] clamped to LEAST(p_to, CURRENT_DATE)","staying_status IN ('Staying','On-Notice','Exited') AND onboarding_date IS NOT NULL","Day-range segmentation (occupied/vacant), then per-bed aggregate stats","org=organization_id; property=Via bed->apartment->property; tenant/allotment=bed_id (native grain), tenant_id per segment",Not applicable,Not applicable,get_bed_occupancy_timeline does NOT merge overlapping allotments on its own (it takes one bed_id at a time and lists raw segments) -- get_occupancy_intelligence DOES merge (gaps-and-islands). Use the latter for a bed with known overlaps (H.056).,"Full tenant_allotments history for the bed in question, clamped to the query window and apartment availability (start_date/end_date).",C.008,,NOT_DETERMINABLE,No exported output exists for either function at the per-bed grain.,
M.TEN.001,Staying tenants,Operations,"COUNT(*) WHERE staying_status = 'Staying', at either the allotment grain or DISTINCT tenant_id grain.",tenant_allotments,"v_active_tenants (F.022, tenant-grained, combines Staying+On-Notice, not Staying alone)",None required,Not applicable (current-state field),staying_status = 'Staying',COUNT(*) or COUNT(DISTINCT tenant_id),"org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",Not applicable,Not applicable,"H.056's 187 overlapping-allotment pairs mean a bed can show 2 simultaneously-Staying allotments -- confirmed 0 such cases exist for Staying+On-Notice specifically (H.013), but the general overlap phenomenon across all statuses is real and unquantified for Staying-vs-Staying specifically.",tenant_allotments.onboarding_date: 2019-11-03 to 2026-08-31.,,DQ.003,SAFE,"H.013 allotment_status_rollup (validated: OCC.13, exact match, 168).",
M.TEN.002,On-Notice tenants,Operations,COUNT(*) WHERE staying_status = 'On-Notice'.,tenant_allotments,"None isolates this alone (v_occupancy's on_notice column is DEFECTIVE, see M.OCC.005)",None required,Not applicable,staying_status = 'On-Notice',COUNT(*),"org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",Not applicable,Not applicable,H.013 confirms 0 of these 7 allotments' beds also carry a simultaneous Staying allotment.,Same as M.TEN.001.,C.009,DQ.005,SAFE,"H.011/H.013 (validated: OCC.14, exact match, 7; OCC.03/05 confirm the downstream defect).",
M.TEN.003,Booked beds,Operations,COUNT(*) beds WHERE NOT has_staying AND has_booked (per v_occupancy's construction) or COUNT(DISTINCT tenant_id) WHERE staying_status='Booked' (per v_active_tenants).,"beds, tenant_allotments","v_occupancy (F.005, bed-grained), v_active_tenants (F.022, tenant-grained)","get_universal_metrics, get_universal_metrics_v2",Not applicable,staying_status='Booked',COUNT,org=organization_id; property=property_id; tenant/allotment=bed_id or tenant_id depending on definition,Not applicable,Not applicable,Not separately assessed for Booked specifically.,"H.014: 4 Booked allotments, min onboarding 2026-08-01, max 2026-08-16 -- ALL very recent (this status is inherently forward-looking).",,,SAFE,"F.022 v_active_tenants.booked_tenants (validated: OCC.11, exact match, 4); v_occupancy's booked column (validated: OCC construction consistent, 4).",
M.OCC.005,Historical occupancy,Operations,"Same as M.OCC.001 Def E / M.OCC.003-004's day-weighted reconstructions, over an arbitrary [p_from,p_to] window.","tenant_allotments, beds, apartments",None,"get_bed_occupancy_timeline, get_occupancy_intelligence","onboarding_date, actual_exit_date, window-bounded","staying_status IN ('Staying','On-Notice','Exited')","Day-weighted occupied/available ratio, or explicit day-range segments",org=organization_id; property=property_id; tenant/allotment=bed_id,Not applicable,Not applicable,get_occupancy_intelligence merges overlaps (H.056-safe); get_bed_occupancy_timeline does not (per-bed caller responsibility).,"Full history available: 2019-11-03 to 2026-08-31 (tenant_allotments.onboarding_date, the widest span of any domain).",C.006;C.008,DQ.004,SHOW_BOTH,"H.012e (194/203, cross-referenced in OCC printout, not independently re-derived as a day-weighted calc in this pass's scripts -- the bed-set-membership check (Staying+On-Notice+Exited, ALL beds) IS validated via OCC.07/07b as the closest available proxy).",
M.LIFE.001,Tenant lifecycle (staying_status sync),Operations,"tenants.staying_status is DERIVED, not independent: priority order Staying(1) > On-Notice(2) > Booked(3) > else(4), tie-broken by most-recently-created allotment, kept in sync by sync_tenant_staying_status (AFTER INSERT/UPDATE) and sync_tenant_staying_status_on_delete (AFTER DELETE) on tenant_allotments.","tenant_allotments, tenants",None,"sync_tenant_staying_status, sync_tenant_staying_status_on_delete (both bodies fully exported)",created_at (tie-break only),None (the trigger scans ALL of a tenant's allotments),Not an aggregation -- a per-tenant derivation rule,"org=organization_id; property=Not applicable (tenant-level, can span properties); tenant/allotment=tenant_id (native grain)",Not applicable,Not applicable (tenants/tenant_allotments have no is_deleted column),"A tenant with multiple simultaneous allotments (H.056) is tagged by whichever ranks highest in the priority order, which can mask a lower-priority concurrent allotment's status.","Full history, 2019-11 to 2026-08.",,,SAFE,"Not independently re-executed in this pass's scripts (the derivation is a row-level trigger rule, not an aggregate to compare against a view) -- confidence is from reading both full function bodies directly (business_logic.md 10.1).",
M.LIFE.002,Move-ins,Operations,"tenant_allotments WHERE onboarding_date IS NOT NULL, event_date=onboarding_date, event='move_in'.",tenant_allotments,v_tenant_lifecycle_events (F.017),None,onboarding_date,onboarding_date IS NOT NULL,"COUNT(*) or list, groupable by month","org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",Not applicable,Not applicable,"A tenant who moves, then re-onboards elsewhere, contributes 2 move_in rows -- this is a correct representation of 2 real events, not a duplicate.",2019-11-03 to 2026-08-31 (67 months).,,,SAFE,"F.017 v_tenant_lifecycle_events (2204 rows, full population, exact SQL reproduced in business_logic.md 10.2; not independently re-executed as a row-count check in this pass's scripts, but the UNION ALL construction is simple and fully specified from source).",
M.LIFE.003,Move-outs,Operations,"tenant_allotments WHERE actual_exit_date IS NOT NULL, event_date=actual_exit_date, event='move_out'.",tenant_allotments,v_tenant_lifecycle_events (F.017),None,actual_exit_date,actual_exit_date IS NOT NULL,"COUNT(*) or list, groupable by month","org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",Not applicable,Not applicable,Same note as M.LIFE.002.,"tenant_allotments.actual_exit_date: 2022-11-20 to 2026-09-20 (47 months, including a small forward-dated tail).",,,SAFE,Same as M.LIFE.002.,
M.LIFE.004,Exit reconciliation,Operations,"v_exit_reconciliation_worklist: joins tenant_allotments (staying_status='Exited') to v_tenant_current_dues (Def B AR, reversals INCLUDED), plus LATERAL sums of invoices by reference_type/invoice_type, plus the latest deposit_settlements row per allotment.","tenant_allotments, tenants, apartments, beds, properties, invoices, deposit_settlements","v_exit_reconciliation_worklist (F.027, byte-identical duplicate at H.047)",None,actual_exit_date,staying_status='Exited' AND (ar_balance<>0 OR deposit_held+booking_advance>0),Not an aggregation -- a per-allotment worklist (45 rows),"org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id (native grain)",dues_now (ar_balance) uses M.AR.001B's convention (reversals INCLUDED) -- NOT the reversal-excluded convention.,eb_already/exit_charge_already exclude soft-deleted invoices (is_deleted=false); deposit settlement lookup excludes soft-deleted settlements.,Not separately assessed for this worklist specifically.,"Bounded to currently-Exited allotments with an outstanding balance -- a live worklist, not a historical time series.",C.001,,SAFE,"F.027 v_exit_reconciliation_worklist (45 rows; not independently re-executed as a full reconstruction in this pass's scripts given its 8-way join complexity, but every one of its component parts -- AR via M.AR.001B, invoice filters, deposit settlement lookup -- IS independently validated elsewhere in this document).",
M.MAINT.001,Maintenance volume,Operations,"COUNT(*) FROM maintenance_tickets, GROUP BY status/month/property.",maintenance_tickets,v_maintenance_metrics (F.015),None,created_at,status IN/NOT IN closed states depending on the question,COUNT(*) per status/month,org=organization_id; property=property_id; tenant/allotment=Not applicable,Not applicable,Not applicable (no is_deleted column on maintenance_tickets),Not applicable to the ticket count itself.,"2025-01-29 to 2026-08-29 (20 months, created_at) -- the SHORTEST domain coverage of any operational area in the package. Do not manufacture a YoY comparison for maintenance.",,DQ.027,SAFE,"M.006 exact row count (1611, live table); H.019's 1613 figure (validated: MAINT.01/MAINT.01b, exact match AND mechanism proven).",MAINT.01b resolves a previously 'not determinable' item from data_quality_report.md DQ.027.
M.MAINT.002,Maintenance cost (2 paths),Operations,"Path A (v_maintenance_metrics): maintenance_tickets LEFT JOIN ticket_resolutions LEFT JOIN expenses ON ticket_resolution_id, dated by ticket created_at month. Path B (v_maintenance_by_issue_type): expenses.issue_type_id direct join to issue_types, requires ticket_resolution_id IS NOT NULL, dated by expense_date.","maintenance_tickets, ticket_resolutions, expenses, issue_types","v_maintenance_metrics (F.015, Path A), v_maintenance_by_issue_type (F.016, Path B)",None,Path A: maintenance_tickets.created_at (ticket creation month). Path B: expenses.expense_date.,"Path A: none beyond the joins (LEFT JOIN, cost=0 if unlinked). Path B: ticket_resolution_id IS NOT NULL.",SUM(expenses.amount) per path,org=organization_id; property=property_id; tenant/allotment=Not applicable,Not applicable,Not applicable,"Path A's join must avoid a NaN-key cartesian explosion when reconstructed naively (tickets without a resolution and expenses without a resolution both carry NULL join keys) -- confirmed and fixed in this pass's validation script; a correct SQL LEFT JOIN would not have this problem (NULL<>NULL in SQL), only a naive pandas merge implementation.",Same 20-month window as M.MAINT.001 for tickets; expenses.expense_date extends back to 2023-03.,C.023,DQ.027;DQ.034,SAFE,"F.015 v_maintenance_metrics (validated: MAINT.02, exact match Rs.28,796.00); F.016 v_maintenance_by_issue_type (validated: MAINT.03/04, exact match, 15 resolved_tickets / Rs.28,796.00); cross-check between paths (validated: MAINT.05, exact match).","Despite conflicts.md's original framing as 'can disagree', this pass PROVES the two paths agree exactly on total cost for this dataset -- an update worth carrying into the semantic layer's confidence rating for this metric."
M.EB.001,EB/electricity usage and cost,Operations,"electricity_readings (units_consumed, unit_cost per apartment/billing_month) and eb_payments (bill_amount per property/bill_date).","electricity_readings, eb_payments, eb_rates, eb_monitoring_readings",None dedicated,"trg_eb_payment_journal_post (posting orchestration, body NOT among the 25 exported)","electricity_readings.billing_month (TEXT, 'Mon-YY' format -- see Known limitations); eb_payments.bill_date (a real DATE column)",None required for a raw sum,"SUM(units_consumed), SUM(bill_amount)",org=organization_id; property=property_id; tenant/allotment=Not applicable at this grain (see M.EB.002 for tenant-level allocation),Not applicable at the source-table level. Ledger side (via owner_payments-style posting) is NOT determinable from exported evidence -- trg_eb_payment_journal_post's body is not among the 25 exported.,Not applicable (no is_deleted column on any EB table).,Not assessed -- no EB duplicate-detection diagnostic was exported.,"electricity_readings: created_at 2026-03-20 to 2026-07-31 (5 months, EXPORT timing, not necessarily billing coverage -- billing_month values span a much wider historical range in 'Mon-YY' text form, e.g. 'May-24'). eb_payments: bill_date 2026-04-29 to 2026-06-27 (ONLY 2 months -- the narrowest coverage of any financial domain in the package). eb_monitoring_readings: a SINGLE DAY snapshot (2026-08-18, all 35 rows).",,DQ.021;DQ.028,DISCLOSE,"Format-mismatch fully re-verified in this pass (validate_eb.py EB.03-07, all exact matches to the 0%/100% pattern); eb_payments 2-month coverage re-verified (EB.08, exact match).",
M.EB.002,EB tenant allocation,Operations,per_day_rate = ROUND(total_apartment_bill / total_tenant_days); tenant_eb_charge = per_day_rate * tenant_stay_days. Formula reverse-engineered from data (NOT from an exported function body -- no allocation function is among the 25 exported).,eb_tenant_shares,None,Not determinable from exported evidence (the writer of this table is not among the 25 exported bodies),"billing_month (TEXT, 'Mon-YY' format -- same DQ.028 defect as M.EB.001)",None required,"Per-row formula, not an aggregation (each row is one tenant's allocated share for one apartment/month)",org=organization_id; property=Via apartment_id; tenant/allotment=tenant_id (native grain),Not applicable,Not applicable,Not assessed.,"created_at 2026-04-07 to 2026-08-08 (5 months, export timing); billing_month text values span a wider historical range.",,DQ.028,DISCLOSE,"Formula verification (validated: EB.01/EB.02, both 801/801 exact matches -- upgraded from business_logic.md's original 5-row spot-check to a full-population proof in this pass).",Full-population formula verification is a genuine strengthening of business_logic.md's original finding.
M.RISK.001,Outstanding dues,Risk/DQ,See M.AR.001A-D.,See M.AR.001A-D,"F.006, F.007",None,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,org=organization_id; property=See M.AR.003; tenant/allotment=See M.AR.002,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,C.001;C.003;C.005,DQ.002;DQ.019,BLOCK,Same as M.AR.001A-D.,Duplicate of M.AR.001A-D under the brief's Risk/DQ heading -- not re-derived separately.
M.RISK.002,Aging,Risk/DQ,"v_tenant_aging: buckets by CURRENT_DATE - charge_date, on raw journal_lines account 1200 (reversals INCLUDED, same convention as M.AR.001B).","journal_lines, journal_entries, coa_accounts",v_tenant_aging (F.008),None,"CURRENT_DATE - entry_date (bucket boundary), entry_date (charge date itself)",account_code='1200' AND party_kind='tenant',"SUM(net) per bucket per (tenant_id, allotment_id)","org=organization_id; property=Not carried directly; tenant/allotment=tenant_id, allotment_id","INCLUDED (same convention as M.AR.001B, v_tenant_current_dues).",Inherited via reversal mechanism.,Not applied.,"Full ledger AR history, 2019-11 to 2026-09.",C.019,DQ.018;DQ.036,DISCLOSE,"Not independently re-executed in this pass's scripts (a snapshot-dependent calculation cannot be meaningfully re-validated against a frozen export without first fixing the same as-of date the export used, which was not separately recorded per-row in F.008).",Always state the as-of date when reporting an aging bucket.
M.RISK.003,Deposit risk,Risk/DQ,"UNION of v_diag_deposit_phantom (32 rows) and v_deposit_ledger_anomalies (22 rows, 3 anomaly types).","tenant_allotments, deposit_settlements, journal_lines/journal_entries/coa_accounts","v_diag_deposit_phantom (H.045), v_deposit_ledger_anomalies (H.046)","validate_deposit_settlement (write-time constraint, body exported)","Various (settlement_date, actual_exit_date)",See M.RISK.004 and 5.4,COUNT(*) per anomaly type,"org=organization_id; property=Via join; tenant/allotment=tenant_id, allotment_id","Not applicable (source-table anomaly detection, not ledger totals)",NOT is_deleted filters applied throughout,One of the 3 anomaly types IS 'duplicate_open_settlement'.,"Bounded to currently-flagged rows (a live worklist, not a time series).",,DQ.011;DQ.012;DQ.035,DISCLOSE,"H.045 (validated: DEP.06, exact match, 32); H.046 (not independently re-executed as a full 3-way anomaly reconstruction in this pass's scripts, given its complexity -- recorded as a follow-up).",
M.RISK.004,Phantom deposits,Risk/DQ,"tenant_allotments WHERE deposit_paid > 0 AND staying_status IN ('Exited','Cancelled') AND NOT EXISTS(a matching, non-deleted deposit_settlements row).","tenant_allotments, deposit_settlements",v_diag_deposit_phantom (H.045),None,Not applicable (current-state check),"deposit_paid>0 AND staying_status IN ('Exited','Cancelled')","COUNT(*), and SUM(deposit_paid) for the amount at risk","org=organization_id; property=Via join; tenant/allotment=tenant_id, allotment_id",Not applicable,deposit_settlements filtered to NOT is_deleted for the existence check,Not applicable,Current-state check across the full tenant_allotments history.,,DQ.011;DQ.035,DISCLOSE,"H.045 v_diag_deposit_phantom (validated: DEP.06, exact match, 32 allotments); amount at risk (validated: DEP.07, Rs.722,700.00 -- a NEW figure, H.045 does not export a summed amount, computed here for the first time).","Rs.722,700.00 total exposure is a new number, not previously stated in data_quality_report.md."
M.RISK.005,Duplicate invoices,Risk/DQ,"GROUP BY allotment_id, billing_month, invoice_type HAVING COUNT(*) > 1, on live invoices.",invoices,"None (H.055 is an ad-hoc diagnostic, not a stored view)",None (no invoice-side dedup mechanism exists at all),Not applicable to the grouping itself (billing_month is the grouping key),NOT is_deleted,"COUNT(*), SUM(total_amount) per group",org=organization_id; property=Via allotment join; tenant/allotment=allotment_id (grouping key),Not applicable,Live rows only,THIS METRIC IS the duplicate-detection itself.,"Full invoices history, 2023-02 to 2026-09.",C.020,DQ.013,DISCLOSE,"H.055 duplicate_invoices (validated: DQ.013/DQ.013b in validate_data_quality.py, exact match, 322 groups / 356 excess rows -- independently re-derived from raw invoices in this pass, not merely re-read from the diagnostic).",
M.RISK.006,Duplicate receipts,Risk/DQ,"receipts_dedup_audit table: groups by (tenant_id, payment_date, amount_paid, reference_number), duplicate_count 2-6, one-time detection pass (detected_at all = 2026-04-22).","receipts_dedup_audit, receipts",None,Not determinable from exported evidence (no trigger performs this detection; presumably a one-off script or manual query),"detected_at (single value, not a range)",None (the table itself IS the filtered result),"COUNT(*) groups, SUM per group",org=organization_id; property=Not carried; tenant/allotment=tenant_id,Not applicable,"Cross-checked in this pass: of 23 flagged receipt_ids, only 11 still exist in the receipts export (12 were HARD-deleted, not soft-deleted, since detection); NONE of the remaining 11 are soft-deleted -- detection did NOT drive remediation.",THIS METRIC IS the duplicate-detection itself.,"One-time detection snapshot (2026-04-22), not an ongoing feed.",C.018;C.020,DQ.014,DISCLOSE,"Not independently re-executed as a fresh detection pass in this pass's scripts (the 9-group/23-id/11-live cross-check was performed and confirmed during the conflicts.md pass, C.018/C.020, and is carried forward here as an established fact, not re-derived).",
M.RISK.007,Overlapping allotments,Risk/DQ,"For each bed_id, pairwise interval-overlap check on [onboarding_date, COALESCE(actual_exit_date, snapshot_date)].",tenant_allotments,None (H.056 is an ad-hoc diagnostic),"None (no trigger prevents this for tenant_allotments; contrast bed_status_history's validate_bed_status_no_overlap, which is EMPTY, 0 rows, and thus not effectively enforced against tenant_allotments directly)","onboarding_date, actual_exit_date",bed_id IS NOT NULL,COUNT(*) overlapping pairs,org=organization_id; property=Via bed->apartment->property; tenant/allotment=bed_id (grouping key),Not applicable,Not applicable,THIS METRIC IS the overlap-detection itself.,"Full tenant_allotments history, 2019-11 to 2026-08.",,DQ.003,DISCLOSE,"H.056 overlapping_allotments (validated: DQ.003 in validate_data_quality.py, DIFFERS: 214 reconstructed vs 187 reference, ~14% higher, explained by boundary-condition sensitivity, not a data error).",Only metric-reconstruction check in this deliverable with an unresolved (if bounded and explained) count discrepancy against its reference.
M.RISK.008,Ledger/source reconciliation,Risk/DQ,"See M.COL.003 (receipts), M.INV.001's ledger cross-check (invoices), M.DEP.002 (deposit settlements).",See each component metric,v_je_amount_reconciliation logic (H.001),None,See each component metric,See each component metric,See each component metric,org=organization_id; property=See each component; tenant/allotment=See each component,"Sign-inverted netting convention (H.001's own construction, business_logic.md 1.3 definition C) across all three.",Live rows only on the source side throughout.,Not applicable to this umbrella framing.,See each component metric.,C.014;C.015;C.016,DQ.006;DQ.007;DQ.008,DISCLOSE,"All three independently re-derived and exact-matched to H.001 in this pass (COLL.02, and the invoice/deposit equivalents referenced in M.INV.001/M.DEP.002).",
M.RISK.009,Data-quality score / trust status,Risk/DQ,COUNT of metrics in this registry by ai_trust_status.,metric_registry.csv (this deliverable's own output),N/A,N/A,Not applicable,None,COUNT(*) GROUP BY ai_trust_status,org=Not applicable; property=Not applicable; tenant/allotment=Not applicable,Not applicable,Not applicable,Not applicable,Reflects this deliverable's snapshot as of 2026-08-31 (today).,,,SAFE,Self-validating: this document's closing summary counts are derived directly from metric_registry.csv.,See this document's closing 'Report' section for the actual counts.
M.RENT.001,Current rent per bed,Financial,"tenant_allotments.monthly_rental of the live allotment on each bed (staying_status='Staying' AND actual_exit_date IS NULL), one value per bed. Never summed and never averaged into an apartment figure.","tenant_allotments, beds, apartments",v_export_tenant_allotments (pass-through of monthly_rental),get_occupancy_intelligence (bed_rent CTE establishes the per-bed resolution and the monthly basis),onboarding_date (used only to pick the latest allotment on a bed; monthly_rental itself carries no effective date),staying_status='Staying' AND actual_exit_date IS NULL,None -- one recorded value per bed. NEVER SUM or average across beds.,"org=organization_id; property=via apartment; apartment=apartment_id; bed=bed_id (native grain); tenant/allotment=tenant_id, id",Not applicable (not a ledger-derived metric).,Not applicable; Cancelled allotments excluded by the staying_status filter.,"One row per bed. Where a bed carries more than one live allotment the latest onboarding_date wins, matching get_occupancy_intelligence's bed_rent rule. In this export no bed does: 168 current allotments sit on 168 distinct beds.","CURRENT STATE ONLY. monthly_rental carries no effective date and the export has no update tracking (v_export_tenant_allotments emits updated_at as a literal NULL), so a rent in force during a past period is NOT derivable from this evidence.",,,DISCLOSE,"No exported output rows exist for get_occupancy_intelligence, so the figure is reconciled against tenant_allotments directly. The function body confirms the grain and the monthly basis.","Recorded zero rents (2 on current allotments) are kept as recorded. The application's coalesce(monthly_rental, 0) is deliberately NOT copied: it makes a missing rent indistinguishable from a genuine zero, and both exist."
